	LU_Code	Description	CN_1	CN_2	CN_3	CN_4	CN_5	CN_6	CN_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	Interception_Growing	Interception_Nongrowing	RZ_1	RZ_2	RZ_3	RZ_4	RZ_5	RZ_6	RZ_7
0	1	 Corn	65	78.22999999999999	85.615	88.52000000000001	65	86	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0
1	4	 Sorghum	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
2	5	 Soybeans	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.875	1.875	1.875	1.875	1.875	1.875	0
3	6	 Sunflowers	61	75.74199999999999	83.971	87.208	61	84	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
4	12	 Sweet Corn	65	78.22999999999999	85.615	88.52000000000001	65	86	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.875	1.875	1.875	1.875	1.875	1.875	0
5	21	 Barley	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
6	23	 Spring Wheat	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
7	24	 Winter Wheat	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
8	26	 Dbl Crop WinWht/Soybeans	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.875	1.875	1.875	1.875	1.875	1.875	0
9	27	 Rye	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
10	28	 Oats	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
11	29	 Millet	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
12	30	Speltz	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
13	32	 Flaxseed	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
14	36	 Alfalfa	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.25	2.25	2.25	2.25	2.25	2.25	0
15	37	 Other Hay/Non Alfalfa	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.4975	3.1275	2.4975	2.4975	2.4975	0
16	38	 Camelina	55	72.00999999999999	81.505	85.24000000000001	55	83	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
17	41	 Sugarbeets	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
18	42	 Dry Beans	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
19	43	 Potatoes	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0
20	47	Misc Vegs and Fruits	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
21	49	 Onions	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
22	50	 Cucumbers	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
23	53	 Peas	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
24	57	 Herbs	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
25	58	 Clover/Wildflowers	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
26	59	Sod/Grass Seed	30	56.459999999999994	71.23	77.04	30	78	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.7075	2.55	1.5825	2.4975	1.5825	0
27	61	 Fallow/Idle Cropland	77	85.69399999999999	90.547	92.456	77	93	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
28	70	 Christmas Trees	43	64.54599999999999	76.573	81.304	43	82	100	4	0.6	0.24	0.12	4	0.12	0.12	0.05	0.0	1.125	1.125	1.125	1.125	1.125	1.125	0
29	92	 Aquaculture	92	95.024	96.71199999999999	97.376	92	95	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.4975	2.4975	1.665	2.4975	1.665	0
30	111	 Open Water	100	100.0	100.0	100.0	100	100	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
31	121	 Developed/Open Space	49	68.27799999999999	79.039	83.272	49	84	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.4975	2.4975	2.4975	2.4975	2.4975	0
32	122	 Developed/Low Intensity	67	79.47399999999999	86.437	89.176	67	89	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
33	123	 Developed/Medium Intensity	77	85.69399999999999	90.547	92.456	77	92	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
34	124	 Developed/High Intensity	89	93.15799999999999	95.479	96.392	89	95	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
35	131	 Barren	74	83.828	89.314	91.47200000000001	74	90	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	1.5	1.5	1.5	1.5	1.5	1.5	0
36	141	 Deciduous Forest	30	56.459999999999994	71.23	77.04	30	77	100	4	0.6	0.24	0.12	4	0.12	0.12	0.05	0.0	3.12375	2.4975	2.4975	1.99875	3.12375	1.99875	0
37	142	 Evergreen Forest	30	56.459999999999994	71.23	77.04	30	77	100	4	0.6	0.24	0.12	4	0.12	0.12	0.1	0.1	1.561875	1.24875	1.24875	0.999375	1.561875	0.999375	0
38	143	 Mixed Forest	30	56.459999999999994	71.23	77.04	30	77	100	4	0.6	0.24	0.12	4	0.12	0.12	0.06	0.03	3.12375	2.4975	2.4975	1.99875	3.12375	1.99875	0
39	151	Dwarf Scrub	35	59.56999999999999	73.285	78.68	35	77	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.4975	2.4975	1.665	2.4975	1.665	0
40	152	 Shrubland	35	59.56999999999999	73.285	78.68	35	77	100	4	0.6	0.24	0.12	4	0.12	0.12	0.0	0.0	2.4975	2.4975	2.4975	1.665	2.4975	1.665	0
