Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
    1,    1,    1,    1,  0.000048,    1,   0.190,   0.000,   0.000,   0.000,   0.168,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.105,   0.126,   0.000,   0.000,   0.000,   0.000,   0.032,   0.000,   0.000,   0.000,   0.000,   0.105,   0.000,   0.000,   0.274,   0.000,   0.000,   0.000,   0.000
    2,    1,    2,    1,  0.178499,    1,   0.046,   0.000,   0.037,   0.017,   0.034,   0.000,   0.000,   0.324,   0.015,   0.002,   0.015,   0.010,   0.000,   0.000,   0.000,   0.176,   0.000,   0.000,   0.000,   0.000,   0.002,   0.002,   0.088,   0.039,   0.000,   0.110,   0.000,   0.002,   0.015,   0.032,   0.034
    3,    1,    3,    1,  0.528656,    1,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.194,   0.009,   0.029,   0.068,   0.017,   0.013,   0.060,   0.032,   0.104,   0.184,   0.002,   0.019,   0.000,   0.027,   0.000,   0.017,   0.006,   0.024,   0.000,   0.116,   0.080,   0.000,   0.000,   0.000,   0.000
    4,    1,    4,    1,  0.271193,    1,   0.157,   0.000,   0.000,   0.000,   0.024,   0.000,   0.000,   0.243,   0.000,   0.044,   0.000,   0.093,   0.000,   0.000,   0.221,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.072,   0.000,   0.000,   0.000,   0.086,   0.062
    5,    1,    5,    1,  0.170636,    1,   0.000,   0.000,   0.010,   0.000,   0.033,   0.004,   0.000,   0.349,   0.337,   0.000,   0.000,   0.000,   0.000,   0.000,   0.026,   0.000,   0.000,   0.000,   0.000,   0.102,   0.000,   0.000,   0.094,   0.000,   0.000,   0.000,   0.045,   0.000,   0.000,   0.000,   0.000
    6,    1,    6,    1,  0.730620,    1,   0.088,   0.126,   0.002,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.039,   0.000,   0.000,   0.722,   0.014,   0.000,   0.000,   0.006,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.002
    7,    1,    7,    1,  0.470836,    1,   0.000,   0.099,   0.000,   0.000,   0.229,   0.038,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.557,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000,   0.000
    8,    1,    8,    1,  0.412879,    1,   0.017,   0.055,   0.007,   0.157,   0.009,   0.037,   0.018,   0.008,   0.013,   0.038,   0.000,   0.005,   0.000,   0.000,   0.009,   0.005,   0.284,   0.026,   0.000,   0.000,   0.259,   0.046,   0.000,   0.000,   0.000,   0.000,   0.005,   0.000,   0.000,   0.000,   0.000
    9,    1,    9,    1,  0.365071,    1,   0.190,   0.000,   0.000,   0.000,   0.168,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.105,   0.126,   0.000,   0.000,   0.000,   0.000,   0.032,   0.000,   0.000,   0.000,   0.000,   0.105,   0.000,   0.000,   0.274,   0.000,   0.000,   0.000,   0.000
   10,    1,   10,    1,  0.574868,    1,   0.020,   0.025,   0.012,   0.052,   0.131,   0.106,   0.129,   0.015,   0.017,   0.015,   0.014,   0.011,   0.027,   0.090,   0.014,   0.162,   0.055,   0.002,   0.008,   0.000,   0.002,   0.001,   0.009,   0.002,   0.045,   0.001,   0.001,   0.000,   0.000,   0.033,   0.000
