Soils_Code	Soil_Component	Soil_Component_Fraction	Soil_Horizon	Soil_Top_Depth	Soil_Bottom_Depth	Available_Water_Content	Hydrologic_Soil_Group_HWB
1	1	1	1	0	60	0.03	1
2	1	1	1	0	60	0.03	1
3	1	1	1	0	60	0.03	1
4	1	1	1	0	7	0.11	1
4	1	1	2	7	14	0.11	1
4	1	1	3	14	55	0.07	1
5	1	1	1	0	7	0.09	1
5	1	1	2	7	14	0.11	1
5	1	1	3	14	55	0.07	1
6	1	1	1	0	7	0.09	1
6	1	1	2	7	14	0.11	1
6	1	1	3	14	55	0.07	1
7	1	1	1	0	10	0.13	2
7	1	1	2	10	58	0.13	2
7	1	1	3	58	70	0.11	2
8	1	1	1	0	10	0.13	2
8	1	1	2	10	58	0.13	2
8	1	1	3	58	70	0.11	2
9	1	1	1	0	5	0.13	2
9	1	1	2	5	58	0.13	2
9	1	1	3	58	60	0.11	2
10	1	1	1	0	6	0.04	1
10	1	1	2	6	60	0.04	1
11	1	1	1	0	6	0.04	1
11	1	1	2	6	60	0.04	1
12	1	1	1	0	18	0.11	2
12	1	1	2	18	60	0.14	2
13	1	1	1	0	18	0.1	2
13	1	1	2	18	60	0.11	2
14	1	1	1	0	18	0.1	2
14	1	1	2	18	60	0.11	2
15	1	1	1	0	18	0.11	2
15	1	1	2	18	60	0.14	2
16	1	1	1	0	18	0.11	2
16	1	1	2	18	60	0.14	2
17	1	1	1	0	18	0.1	2
17	1	1	2	18	60	0.11	2
18	1	1	1	0	12	0.15	3
18	1	1	2	12	30	0.15	3
18	1	1	3	30	60	0.04	3
18	1	1	4	60	64	0	3
19	1	1	1	0	11	0.13	2
19	1	1	2	11	44	0.13	2
19	1	1	3	44	58	0.12	2
19	1	1	4	58	68	0	2
20	1	1	1	0	12	0.13	3
20	1	1	2	12	34	0.13	3
20	1	1	3	34	60	0.02	3
21	1	1	1	0	12	0.13	3
21	1	1	2	12	34	0.13	3
21	1	1	3	34	60	0.02	3
22	1	1	1	0	7	0.13	3
22	1	1	2	7	20	0.13	3
22	1	1	3	20	30	0.02	3
22	1	1	4	30	40	0	3
23	1	1	1	0	7	0.13	3
23	1	1	2	7	20	0.13	3
23	1	1	3	20	30	0.02	3
23	1	1	4	30	40	0	3
24	1	1	1	0	14	0.12	2
24	1	1	2	14	66	0.12	2
25	1	1	1	0	14	0.12	2
25	1	1	2	14	66	0.12	2
26	1	1	1	0	14	0.12	2
26	1	1	2	14	66	0.12	2
27	1	1	1	0	14	0.12	2
27	1	1	2	14	66	0.12	2
28	1	1	1	0	15	0.1	2
28	1	1	2	15	41	0.1	2
28	1	1	3	41	65	0.09	2
29	1	1	1	0	15	0.1	2
29	1	1	2	15	41	0.1	2
29	1	1	3	41	65	0.09	2
30	1	1	1	0	15	0.1	2
30	1	1	2	15	41	0.1	2
30	1	1	3	41	65	0.09	2
31	1	1	1	0	15	0.1	2
31	1	1	2	15	41	0.1	2
